compression,ridge,prior_regression,mae,accuracy,brier,home_field
34.0,4.0,0.2,9.13362413187148,0.7010570422753832,0.19194624924856937,3.018575613904512
34.0,8.0,0.35,9.141407576177643,0.70347182176975,0.19179626424927082,3.80297803963926
34.0,8.0,0.2,9.153227773363854,0.7011178445402173,0.192423800984327,3.3258320808317374
34.0,4.0,0.35,9.156972112671847,0.7018271504576453,0.19187375514327992,3.428933495259808
26.0,8.0,0.35,9.168692143896875,0.7009632523208081,0.19211447981112975,3.4568016781853053
26.0,8.0,0.5,9.171066726264861,0.7025274240233922,0.19161033505254055,4.035138504089898
26.0,4.0,0.2,9.171882401894061,0.6996513950721934,0.1924457144354899,2.6916308208907895
34.0,2.0,0.2,9.172485409928262,0.7005064327696077,0.19287134050614013,2.873245637533113
34.0,8.0,0.5,9.173892721830128,0.7029386658154428,0.19192385506406112,4.3417169342035224
1000000.0,4.0,0.2,9.175688076390772,0.7046504410201776,0.19300222423351962,4.015642227259786
26.0,4.0,0.35,9.176961721947702,0.7000059017911889,0.19200786542513137,3.119805556844654
1000000.0,8.0,0.2,9.180679859424748,0.7012799856450076,0.19330288050918012,4.393077613538362
34.0,15.0,0.5,9.190476275485093,0.6983995489741349,0.19376362638224448,4.819075644626608
1000000.0,2.0,0.2,9.191123025372926,0.7024237305938871,0.19356749464865927,3.7316911270607545
26.0,15.0,0.5,9.193562872584838,0.6973936512388665,0.19337654285358616,4.506715284355508
20.0,8.0,0.5,9.194122068754043,0.7005557306476556,0.19183545079087233,3.682292471623617
34.0,15.0,0.35,9.200171572674174,0.6964524893637566,0.19392737041329505,4.270428398102468
34.0,2.0,0.35,9.20129990757968,0.7014711988798293,0.1930286558488437,3.180559393132328
26.0,8.0,0.2,9.208298558621399,0.6983872336716648,0.19327895669893508,2.973979818158232
26.0,2.0,0.2,9.21120515274187,0.700613210173263,0.19317049544694317,2.6063263510046957
34.0,4.0,0.5,9.211331239187215,0.6994560830520318,0.19218710786844134,3.881694014148539
26.0,4.0,0.5,9.215199685371891,0.701506197760049,0.1919489919343324,3.6114145463493954
20.0,4.0,0.35,9.221281315704287,0.7015131658008781,0.19258724440190536,2.7811943852188827
26.0,2.0,0.35,9.228678915619941,0.7009599582056963,0.19311023954507003,2.9353591651185185
20.0,8.0,0.35,9.229768169276893,0.698315124098246,0.19307812510225156,3.0739569611354836
1000000.0,8.0,0.35,9.23004602215564,0.7001885121097419,0.19415185914845418,4.793683748215823
1000000.0,4.0,0.35,9.230583042516896,0.7033449175441572,0.193914369496753,4.351235630459277
20.0,15.0,0.5,9.23387459075147,0.6970805366048237,0.19371085215837577,4.145699829712493
1000000.0,2.0,0.35,9.234288463136547,0.6999960528836184,0.19432348955117948,3.973385179975723
20.0,4.0,0.2,9.236253043405133,0.6992595945696609,0.193391002262838,2.348136827633523
20.0,4.0,0.5,9.23720780306227,0.7010814678911477,0.19208987600023028,3.3119247147987507
1000000.0,15.0,0.2,9.246353601501307,0.6951065276365774,0.19559907589198494,4.817118218976974
20.0,15.0,0.7,9.246971452947717,0.6973144831589682,0.19418419062594264,5.096970648004156
26.0,15.0,0.35,9.248048372660257,0.6961333402526004,0.1944537718827029,3.9288400866749362
34.0,2.0,0.5,9.248594515897476,0.7004036304385833,0.19333976580049336,3.5080663505949876
14.0,15.0,0.7,9.25331510143866,0.6972963381441974,0.19344289195394831,4.679901989833441
20.0,8.0,0.7,9.26399148319839,0.7011416734309456,0.19234201381283417,4.609673128791642
34.0,15.0,0.2,9.264518241881857,0.6959333797715251,0.19520229013630497,3.807145748393982
20.0,2.0,0.2,9.265311521366334,0.6998630950869609,0.1937582350252076,2.3248753071475856
26.0,2.0,0.5,9.26918006212696,0.7012690934833832,0.19321392531685,3.2949823105614415
26.0,8.0,0.7,9.2721633905214,0.7004996549636435,0.1929742075077636,4.85269999577787
1000000.0,15.0,0.35,9.272250649104507,0.6963442107087222,0.19624291604676014,5.225944785383677
26.0,15.0,0.7,9.273012065626903,0.6936724213005256,0.19522505091751235,5.345965620561946
14.0,8.0,0.7,9.275721471452608,0.7018944245349819,0.1920407705659338,4.215782662847956
20.0,2.0,0.35,9.276205395487187,0.702046832132926,0.1934716932754207,2.6739432164670083
14.0,8.0,0.5,9.283860585325218,0.7000532221104235,0.1932950381958185,3.129349368954201
1000000.0,2.0,0.5,9.290681350325947,0.7004237473916625,0.19518664937775734,4.224263204430615
34.0,8.0,0.7,9.294915822049933,0.6987391733775161,0.19384564055734493,5.068408274613719
20.0,8.0,0.2,9.296480408188168,0.6950849682314283,0.19469831726894515,2.6181857264104393
14.0,4.0,0.5,9.300526458373495,0.7011459277398734,0.19303366062755128,2.8407905334797494
20.0,2.0,0.5,9.305110439881947,0.7023573904152548,0.19334286599311368,3.0720321198084792
1000000.0,4.0,0.5,9.307480325075716,0.6983397889372193,0.1950678166004582,4.696238849025325
1000000.0,8.0,0.5,9.30985002965861,0.6974606455012375,0.19554190987229908,5.200795224492299
34.0,15.0,0.7,9.313841960322234,0.6899749831407632,0.19646028251169825,5.5590928946355955
14.0,4.0,0.35,9.31892052748376,0.698923953366112,0.19413749651038475,2.2870827172193207
26.0,4.0,0.7,9.321635153301168,0.7011703439968755,0.19283241425125028,4.304280294002701
34.0,4.0,0.7,9.32521144035674,0.7008572600145117,0.19340408266818346,4.501378352437615
20.0,4.0,0.7,9.329846369214158,0.7018543385320096,0.19251582137312057,4.094781072417413
20.0,15.0,0.35,9.335705808754927,0.6936790623414549,0.19577380365963584,3.5636299526737214
34.0,2.0,0.7,9.338113225585927,0.7009173455358952,0.1940509844440998,3.9637033106289308
26.0,15.0,0.2,9.340508433870555,0.6924875839933509,0.19633538906969056,3.4820117908072614
1000000.0,15.0,0.5,9.343161111102999,0.689036857706734,0.19784612533094406,5.6384659678221665
14.0,2.0,0.35,9.35668085129447,0.7005622799392348,0.1944767462646407,2.284244716942919
26.0,2.0,0.7,9.356865535909076,0.6995230594029704,0.19371548557800589,3.801676071957326
14.0,4.0,0.7,9.35827057594826,0.701890322835678,0.1925574009061733,3.7771170078313205
14.0,4.0,0.2,9.360425656968022,0.6981257087753115,0.19529622523883647,1.9058743616009077
14.0,2.0,0.2,9.360820420469233,0.6991342600832607,0.19503892554239702,1.9255474683842957
14.0,8.0,0.35,9.364776289040233,0.6920413549552079,0.1953948442686076,2.5502115050804335
14.0,15.0,0.5,9.365140375410979,0.6918239184442941,0.19571098552619265,3.601941761945555
14.0,2.0,0.5,9.373957716944874,0.7010974793901084,0.19400262295678772,2.734426960862785
1000000.0,2.0,0.7,9.384295692916684,0.6991085530973258,0.19647347641857907,4.564900688097269
20.0,2.0,0.7,9.38562513074515,0.7011670999142999,0.19360399222827834,3.6443714876211564
1000000.0,4.0,0.7,9.435915117769424,0.6958827775649189,0.1969498941630091,5.149695827288651
14.0,2.0,0.7,9.440021987824041,0.7003268096220931,0.19384998536940967,3.4247048316551383
14.0,8.0,0.2,9.444383595407777,0.687609368238843,0.19727517476827156,2.211028216782232
20.0,15.0,0.2,9.44666534875472,0.6876450950820825,0.19805874295450926,3.1717524970188617
1000000.0,8.0,0.7,9.461108895697226,0.6908298839383736,0.19821497954902234,5.714575227544153
14.0,15.0,0.35,9.505945728348312,0.6849261131258249,0.19865117214877728,3.106390146718587
1000000.0,15.0,0.7,9.51427608399167,0.6820102714142556,0.20139416144804156,6.1412918936396705
14.0,15.0,0.2,9.607309344993663,0.6797411015851499,0.20096063864165095,2.86173868070602
