ridge,compression,prior_regression,mae,accuracy,brier,classic_accuracy
4.0,1000000.0,0.15,12.706890932299881,0.7408181981773923,0.17676052534635894,
4.0,40.0,0.3,12.709055701216455,0.7396009820998295,0.1766926825231216,
4.0,40.0,0.45,12.709720439384384,0.7420258473792489,0.1766492178326719,
4.0,1000000.0,0.3,12.712345571626273,0.7417515037955927,0.1768466121796016,
4.0,28.0,0.45,12.735545943824201,0.7415175707760127,0.1767712565168803,
4.0,1000000.0,0.45,12.741866447097866,0.7399078952312109,0.1773953478514034,
2.0,1000000.0,0.15,12.746633283603666,0.7445254662741074,0.17776866153313223,
4.0,40.0,0.15,12.75474054148501,0.73967936644956,0.17732419681061448,
4.0,40.0,0.6,12.754791411716706,0.7386143211244,0.17741644668940956,
2.0,40.0,0.3,12.755710257883633,0.7421166151268491,0.17753592421964826,
2.0,40.0,0.15,12.756310971809357,0.7411776244365432,0.17736181332810635,
4.0,28.0,0.6,12.759657615703293,0.7413169019621552,0.17719192116613414,
2.0,1000000.0,0.3,12.76586693008289,0.7415454617430907,0.17820436552764066,
6.0,40.0,0.45,12.768651910408925,0.7333695532701852,0.17734780041871048,
6.0,1000000.0,0.3,12.77515674581959,0.7366090227459122,0.17743148330544803,
2.0,40.0,0.45,12.775837543761684,0.7418831302081434,0.17803172558120156,
4.0,28.0,0.3,12.780051110968447,0.7397953214373522,0.177397263044831,
6.0,1000000.0,0.15,12.788934913484674,0.7355423423116029,0.17770943272510728,
4.0,20.0,0.6,12.791603355701307,0.738492781802168,0.1772703875577294,
6.0,40.0,0.3,12.792592285068379,0.7347588111606792,0.17781707201051225,
2.0,28.0,0.3,12.796951742955873,0.7423586294510701,0.17768237510179627,
2.0,1000000.0,0.45,12.799443408994117,0.7418705010658038,0.17885418215544496,
6.0,28.0,0.45,12.79980455984691,0.7353941326273578,0.17767128964444834,
6.0,1000000.0,0.45,12.799942459432383,0.7345882478704893,0.17784387579702018,
6.0,28.0,0.6,12.800378274467601,0.7359674852578104,0.1775120541367211,
2.0,28.0,0.45,12.806225572205065,0.7417354300658758,0.17799398220891946,
4.0,1000000.0,0.6,12.80899994839844,0.7364130272577671,0.17848648181354948,
6.0,40.0,0.6,12.811748569044314,0.7341325473072811,0.17791424071726922,
2.0,28.0,0.15,12.813175488619457,0.7415441989400114,0.17777981295926695,
4.0,20.0,0.45,12.822259868424545,0.7372179269123259,0.17758301405651072,
2.0,40.0,0.6,12.823835583091979,0.7385402708805487,0.1789395570715267,
6.0,20.0,0.6,12.828645693074515,0.7364984292246869,0.1771657599154846,
2.0,28.0,0.6,12.845605865066434,0.7398526819790561,0.17881247197888783,
2.0,1000000.0,0.6,12.851159060258533,0.7376878331301671,0.17974632243532104,
4.0,28.0,0.15,12.86471074751147,0.7343349611624348,0.17858367078129983,
2.0,20.0,0.45,12.865585120825127,0.7414769877171993,0.17823747711347687,
6.0,40.0,0.15,12.871888007510082,0.7318031249831712,0.17904033311314313,
6.0,1000000.0,0.6,12.877540464374858,0.7295560582236245,0.179055387157047,
6.0,28.0,0.3,12.877694746354234,0.733014331340775,0.17894924426120376,
2.0,20.0,0.6,12.88909642473353,0.7389642773890867,0.17874788145354573,
2.0,20.0,0.3,12.894134435453562,0.7404562875258147,0.17862964726312278,
6.0,20.0,0.45,12.894785587005867,0.7316612154745916,0.178774702899491,
9.0,40.0,0.45,12.907080188643882,0.7310887789433286,0.17921727047316732,
4.0,20.0,0.8,12.90816655395829,0.7355097496578169,0.17879637187105382,
4.0,28.0,0.8,12.913929178620126,0.7350654122752033,0.1794933188530566,
4.0,40.0,0.8,12.914864433958492,0.7345129464381736,0.17982008258293505,
9.0,1000000.0,0.3,12.915808299970408,0.7293602645797216,0.17945334605154917,
4.0,20.0,0.3,12.93060367725776,0.733485899075706,0.1792449730502374,
2.0,40.0,0.8,12.934596340487653,0.7354180229937541,0.1808388574419025,
9.0,1000000.0,0.45,12.942358879457204,0.7298783960191233,0.17969394306307218,
9.0,28.0,0.45,12.944414869675372,0.7293199921174721,0.17984299329647707,
2.0,1000000.0,0.8,12.94651209508433,0.7343729863597169,0.1813158262265585,
9.0,1000000.0,0.15,12.948105601878362,0.7277235328048612,0.18013793721210355,
9.0,28.0,0.6,12.950042429543634,0.726356172716339,0.17969459576654556,
9.0,40.0,0.6,12.954148061894003,0.729407016308134,0.1796611258521327,
9.0,40.0,0.3,12.95633745949419,0.7282440255514312,0.18023226881921414,
4.0,1000000.0,0.8,12.961691072581596,0.7323173155591056,0.18090915677037553,
2.0,28.0,0.8,12.9631280808657,0.7339561166924857,0.18094249176869406,
2.0,20.0,0.15,12.965908359762794,0.7357183344591107,0.1795666710510924,
6.0,28.0,0.8,12.969168662724844,0.7306526376957142,0.1792674896639121,
4.0,14.0,0.45,12.998664914712995,0.729531355506277,0.17977982498545128,
2.0,20.0,0.8,13.01019585645727,0.734363153661961,0.18119316801138252,
6.0,40.0,0.8,13.010575353289031,0.727256138912602,0.1807689712667995,
6.0,28.0,0.15,13.011368018794698,0.7289695337546334,0.1808830638331762,
9.0,1000000.0,0.6,13.04578884032116,0.7256389163689119,0.18113921809367697,
6.0,20.0,0.8,13.063251785698778,0.7332202233251326,0.17903217987169834,
9.0,28.0,0.3,13.067859900969562,0.7248248223044937,0.18197437749925857,
9.0,40.0,0.15,13.075331541496677,0.7265307620032249,0.18218954952141214,
6.0,20.0,0.3,13.0778599981853,0.7242470680844832,0.18172827657743254,
6.0,1000000.0,0.8,13.085715072271087,0.7218811132408696,0.18218306358694608,
4.0,20.0,0.15,13.09781531887066,0.7231206640123518,0.18161043323075987,
2.0,14.0,0.45,13.104801708933365,0.732248714471957,0.1816954267307469,
9.0,28.0,0.8,13.150162501162262,0.7232224546312077,0.18184249553216444,
14.0,40.0,0.45,13.156955511927285,0.7216545099325412,0.18274490194285775,
4.0,14.0,0.6,13.168812413996118,0.729787271657394,0.18082497365167924,
14.0,1000000.0,0.3,13.179864443875672,0.720512566891459,0.1834358448204209,
9.0,40.0,0.8,13.216751863886454,0.718509296471927,0.18348598367732957,
14.0,1000000.0,0.45,13.220600488475071,0.7223826098849241,0.1837188289921071,
14.0,28.0,0.45,13.221285551022573,0.7147611999993723,0.18415890556990494,
14.0,40.0,0.6,13.225307398228727,0.7203203442699856,0.18328483120191622,
14.0,1000000.0,0.15,13.22849362733998,0.7177631513924859,0.18447025910281042,
2.0,14.0,0.6,13.229936851236793,0.733662635178551,0.18158857659361738,
9.0,28.0,0.15,13.239890835183731,0.7229927188358136,0.18458695077753914,
14.0,40.0,0.3,13.240493759041675,0.7170051674104964,0.18456879768419907,
9.0,20.0,0.45,13.257070945916386,0.7165024168138396,0.18516534475999177,
6.0,20.0,0.15,13.264443042911047,0.7206938066381072,0.18438294863529747,
14.0,28.0,0.6,13.270357194720933,0.7167611701512755,0.18464032253800997,
9.0,1000000.0,0.8,13.316238860063365,0.713293084393653,0.18509939955618201,
9.0,20.0,0.3,13.341657452986775,0.7174851834336048,0.1862694787238641,
14.0,1000000.0,0.6,13.371489004378772,0.7153965055254755,0.1858201574180674,
14.0,28.0,0.3,13.383074230418755,0.7123799217793038,0.18679407028042244,
14.0,40.0,0.15,13.39624336207988,0.7161624057083,0.18717199831421555,
2.0,14.0,0.8,13.424914801960393,0.7269344970884324,0.18459209831555295,
4.0,14.0,0.8,13.466670084641258,0.7226289354011082,0.18500040317416522,
20.0,1000000.0,0.3,13.467029778469358,0.7045972092486054,0.1878240409727542,
20.0,40.0,0.45,13.473168741167786,0.7062359622223076,0.18786016872996944,
2.0,14.0,0.3,13.475847321150276,0.7232820821786341,0.1866589872821535,
9.0,20.0,0.6,13.482529096828404,0.7136921599439683,0.1884711018876426,
20.0,1000000.0,0.15,13.515595081953995,0.7038641615992259,0.18902291325609172,
9.0,20.0,0.15,13.526621815931739,0.7139672250966385,0.18875732066758275,
20.0,1000000.0,0.45,13.527992834291235,0.7072412776663449,0.18838995802617484,
20.0,40.0,0.3,13.538858479195575,0.7028047616870517,0.18922944637381114,
4.0,14.0,0.3,13.568648014176349,0.712759595674057,0.18824375855692385,
14.0,28.0,0.15,13.589095486256268,0.7111773471769756,0.18996479946948713,
20.0,40.0,0.6,13.61154091093785,0.7026110473959324,0.18992563828834996,
14.0,40.0,0.8,13.625222240939477,0.7012829953636742,0.18982068188808676,
2.0,14.0,0.15,13.651607465166169,0.7167510003388885,0.18884585710515917,
20.0,28.0,0.45,13.66327253382226,0.7019611234064491,0.19139938750189617,
4.0,14.0,0.15,13.703540494854334,0.7086688636978241,0.18995897117813793,
14.0,20.0,0.45,13.70559566555815,0.7043071152635253,0.19181439055601246,
20.0,40.0,0.15,13.715640595054897,0.7020409998723369,0.19207398645088017,
20.0,28.0,0.3,13.72808371541848,0.7006690335899244,0.1923992474516298,
20.0,1000000.0,0.6,13.732891644191557,0.6935788767553965,0.19134013379050632,
14.0,1000000.0,0.8,13.737846787097672,0.6953285148642027,0.19141556140490543,
14.0,20.0,0.3,13.754763990825603,0.6999286220987797,0.192765254830701,
6.0,14.0,0.6,13.77244709925527,0.7032317573940798,0.19278931304404817,
6.0,14.0,0.3,13.773571717621369,0.7054159743618154,0.19153231688623834,
6.0,14.0,0.45,13.785758957706525,0.7085251612453648,0.19296104044939197,
6.0,14.0,0.15,13.802411555297038,0.7066034251554709,0.19218284176016678,
30.0,1000000.0,0.3,13.835038155404716,0.6928124808810695,0.1938449554301089,
14.0,28.0,0.8,13.838298404570034,0.6978931016837897,0.1935272476523619,
9.0,20.0,0.8,13.851204268845887,0.6978008460864688,0.19457020107793585,
20.0,28.0,0.6,13.864926614744311,0.6989473947202728,0.19399653821798854,
30.0,1000000.0,0.15,13.87931440400309,0.6947747689267685,0.19496681053112175,
14.0,20.0,0.15,13.884032111283222,0.6985681799945728,0.1943730183887054,
14.0,20.0,0.6,13.891034138425576,0.6945056726851877,0.19555658061618916,
20.0,28.0,0.15,13.918005869292347,0.6962660840806663,0.19510763927133898,
30.0,40.0,0.3,13.927279091893928,0.6900074765122008,0.1954256198779808,
30.0,1000000.0,0.45,13.947262548206577,0.6898273095637545,0.19512407086345757,
30.0,40.0,0.45,13.96281173618726,0.692595428943872,0.19605712317521623,
6.0,14.0,0.8,13.969052338187666,0.692109106467673,0.19624585030103145,
9.0,14.0,0.45,13.97959967686141,0.6995223704024496,0.19576893718144153,
9.0,14.0,0.15,14.016933404768853,0.6990883894729961,0.19588573534705497,
9.0,14.0,0.3,14.030918369845477,0.7017404594304764,0.19597711701163864,
20.0,20.0,0.3,14.074701649660255,0.690107897254269,0.1976218752728979,
30.0,40.0,0.15,14.0897668459972,0.6887496414648347,0.19814010873242477,
20.0,20.0,0.45,14.096930505467649,0.6905019233750341,0.1979024405720744,
20.0,40.0,0.8,14.105619510220865,0.6762018523514516,0.19762011170634028,
30.0,28.0,0.3,14.108664711053645,0.6861417260893223,0.19841995291839792,
20.0,20.0,0.6,14.14212367382107,0.6823899236984895,0.19898087012904114,
30.0,40.0,0.6,14.148841050468382,0.6831312378082441,0.19868135090419176,
20.0,1000000.0,0.8,14.162975440545688,0.6718223957894985,0.19801190543678143,
9.0,14.0,0.6,14.188060367511047,0.6842338989692922,0.19862940175990054,
20.0,20.0,0.15,14.21185809454292,0.6866562680083397,0.19953749904655366,
30.0,1000000.0,0.6,14.22098042266379,0.6707271146683421,0.1992056553544077,
30.0,28.0,0.45,14.231223829422737,0.6822361569586971,0.2000675793363482,
14.0,14.0,0.45,14.231702625583049,0.6873167372887701,0.1996772571802382,
45.0,1000000.0,0.3,14.237642787699716,0.6749965912142315,0.2003599355332596,
45.0,1000000.0,0.15,14.266560248732782,0.6783420200056757,0.20125964969773033,
14.0,14.0,0.3,14.282927203819145,0.6891051589027256,0.20006187920679955,
14.0,14.0,0.6,14.289877931012251,0.676929832621308,0.20059001909012888,
30.0,28.0,0.15,14.292234143720515,0.6857464753367885,0.20123072040972273,
45.0,40.0,0.3,14.296204148684957,0.6779013351826877,0.20120755066205562,
14.0,14.0,0.15,14.319059137027159,0.6869245060299368,0.20078156770724556,
45.0,40.0,0.45,14.361275952182838,0.6733274099550264,0.20221383741991752,
30.0,20.0,0.3,14.4007331773028,0.6770676172280384,0.20277287127992108,
30.0,20.0,0.45,14.416353557664598,0.6753616956471418,0.20297232227736958,
45.0,1000000.0,0.45,14.420994377340213,0.6661835111103719,0.20285642225682618,
30.0,28.0,0.6,14.434548329038185,0.6746091709291813,0.20301982038579502,
20.0,14.0,0.45,14.436957922548846,0.6804756953913427,0.2031154600681633,
